Image,Area Fraction (%) - M23C6,Area Fraction (%) - MX ZPhase,Area Fraction (%) - Laves,Number Density (features/um^2) - M23C6,Number Density (features/um^2) - MX ZPhase,Number Density (features/um^2) - Laves,Mean Intercept - Objects (Random) (um) - M23C6,Mean Intercept - Holes (Random) (um) - M23C6,Mean Inverse Intercept - Objects (Random) (1/um) - M23C6,Mean Inverse Intercept - Holes (Random) (1/um) - M23C6,Mode Intercept - Objects (Random) (um) - M23C6,Mode Intercept - Holes (Random) (um) - M23C6,Mode Inverse Intercept - Objects (Random) (1/um) - M23C6,Mode Inverse Intercept - Holes (Random) (1/um) - M23C6,ASTM Grain Size Number (Random Lines) - M23C6,Total Line Length (Random) (um) - M23C6,Total Intersections (Random) - M23C6,Mean Intercept - Objects (Random) (um) - MX ZPhase,Mean Intercept - Holes (Random) (um) - MX ZPhase,Mean Inverse Intercept - Objects (Random) (1/um) - MX ZPhase,Mean Inverse Intercept - Holes (Random) (1/um) - MX ZPhase,Mode Intercept - Objects (Random) (um) - MX ZPhase,Mode Intercept - Holes (Random) (um) - MX ZPhase,Mode Inverse Intercept - Objects (Random) (1/um) - MX ZPhase,Mode Inverse Intercept - Holes (Random) (1/um) - MX ZPhase,ASTM Grain Size Number (Random Lines) - MX ZPhase,Total Line Length (Random) (um) - MX ZPhase,Total Intersections (Random) - MX ZPhase,Mean Intercept - Objects (Random) (um) - Laves,Mean Intercept - Holes (Random) (um) - Laves,Mean Inverse Intercept - Objects (Random) (1/um) - Laves,Mean Inverse Intercept - Holes (Random) (1/um) - Laves,Mode Intercept - Objects (Random) (um) - Laves,Mode Intercept - Holes (Random) (um) - Laves,Mode Inverse Intercept - Objects (Random) (1/um) - Laves,Mode Inverse Intercept - Holes (Random) (1/um) - Laves,ASTM Grain Size Number (Random Lines) - Laves,Total Line Length (Random) (um) - Laves,Total Intersections (Random) - Laves,
T3_Mode2-GOO220_53_024_processed.tif,4.905000,0.312400,0.510700,3.220526,0.826319,0.031782,0.119902,1.858558,16.200665,4.136988,0.070000,0.150000,4.500000,1.000000,22.800000,14953.637331,12984.000000,0.057040,3.871662,27.903111,4.209708,0.030000,1.000000,17.500000,2.500000,24.900000,15320.494106,1960.000000,0.283365,2.936939,6.928911,11.038128,0.250000,1.500000,2.500000,5.000000,20.300000,15098.716949,572.000000,
T3_Mode2-GOO220_53_026_processed.tif,4.552000,0.289400,0.372500,3.206401,0.452004,0.035313,0.108202,1.761421,17.742525,4.177041,0.050000,0.150000,7.500000,1.500000,23.100000,15036.200059,13898.000000,0.073712,4.615324,23.650034,3.525474,0.045000,1.000000,12.500000,2.500000,24.200000,15226.180289,1309.000000,0.257881,5.131902,6.527363,9.359929,0.150000,2.500000,4.500000,10.000000,20.600000,14942.643009,451.000000,
T3_Mode2-GOO220_53_028_processed.tif,5.397000,0.355800,0.258900,3.029837,0.741569,0.035313,0.118412,1.703343,15.402802,3.136984,0.070000,0.150000,7.500000,1.000000,22.800000,15255.158253,14793.000000,0.064037,4.610615,26.451304,2.464423,0.030000,1.000000,17.500000,1.500000,24.600000,15072.395503,1922.000000,0.228513,5.838982,5.950224,4.176825,0.225000,2.500000,4.500000,5.000000,20.900000,15079.014665,345.000000,
T3_Mode2-GOO220_53_029_processed.tif,5.079000,0.284600,0.664300,3.333527,0.702724,0.049438,0.112819,1.732985,16.135653,3.812159,0.085000,0.150000,7.500000,1.000000,22.900000,15247.511170,14942.000000,0.054644,5.268068,26.873940,3.262433,0.025000,1.000000,17.500000,2.500000,25.000000,15429.084961,1661.000000,0.270340,3.747644,6.917459,12.539976,0.150000,1.500000,2.500000,10.000000,20.400000,15008.070525,708.000000,
T3_Mode2-GOO220_53_031_processed.tif,4.314000,0.416000,0.256700,2.125830,0.572067,0.021188,0.151237,2.403222,15.086710,4.663085,0.075000,0.250000,7.500000,1.500000,22.100000,15070.592828,8982.000000,0.082238,4.343281,21.944488,5.396503,0.045000,1.000000,12.500000,5.000000,23.900000,15142.695131,1708.000000,0.329816,2.777299,5.088080,30.512113,0.150000,2.500000,2.500000,25.000000,19.800000,15171.331886,280.000000,
T3_Mode2-GOO220_53_032_processed.tif,5.080000,0.423300,0.496400,2.390676,0.656818,0.042375,0.148290,2.153072,14.118596,3.918487,0.110000,0.250000,4.500000,1.500000,22.200000,14945.960711,11446.000000,0.074686,3.956165,23.275790,5.105226,0.045000,1.000000,12.500000,2.500000,24.100000,15042.726058,1837.000000,0.289391,3.251730,6.125905,12.932634,0.250000,2.500000,2.500000,10.000000,20.200000,15362.851454,534.000000,
T3_Mode2-GOO220_53_034_processed.tif,5.144000,0.382400,0.571500,2.976868,0.755694,0.028250,0.119096,1.786037,15.175105,3.372107,0.070000,0.150000,7.500000,1.000000,22.800000,14929.608566,13823.000000,0.063483,4.453075,25.806154,3.888255,0.030000,1.000000,12.500000,2.500000,24.600000,15161.298187,1993.000000,0.362848,3.571495,4.566094,10.277362,0.250000,2.500000,1.500000,10.000000,19.600000,15170.024300,444.000000,
T3_Mode2-GOO220_53_037_processed.tif,5.375000,0.416400,0.242000,2.528396,0.787475,0.024719,0.145704,2.046919,15.111903,3.785548,0.075000,0.250000,7.500000,1.500000,22.200000,14971.575639,11745.000000,0.063962,4.714321,24.697912,3.185412,0.030000,1.000000,17.500000,2.500000,24.600000,15336.010624,2238.000000,0.274761,0.776028,6.699044,24.497063,0.150000,1.500000,2.500000,25.000000,20.400000,15270.232599,312.000000,
T3_Mode2-GOO220_53_038_processed.tif,5.156000,0.494800,0.462400,2.425989,0.858101,0.052969,0.147464,2.074252,14.816821,3.608887,0.075000,0.250000,4.500000,1.000000,22.200000,15159.302266,11481.000000,0.073209,4.365131,23.897644,3.043562,0.030000,1.000000,7.500000,2.500000,24.200000,15305.619998,2363.000000,0.256341,2.607075,7.029597,16.174115,0.150000,1.500000,2.500000,10.000000,20.600000,15150.132395,590.000000,
T3_Mode2-GOO220_53_039_processed.tif,4.768000,0.341000,0.421800,2.295331,0.660349,0.035313,0.141950,2.189527,15.050348,3.723864,0.090000,0.250000,4.500000,1.500000,22.300000,14707.715908,10681.000000,0.066592,4.609017,25.994524,3.110370,0.030000,1.000000,12.500000,2.500000,24.500000,15006.475579,1814.000000,0.296345,4.130027,5.944919,19.245654,0.150000,2.500000,2.500000,15.000000,20.200000,14917.946839,462.000000,
