Image,Area Fraction (%) - M23C6,Area Fraction (%) - MX ZPhase,Area Fraction (%) - Laves,Number Density (features/um^2) - M23C6,Number Density (features/um^2) - MX ZPhase,Number Density (features/um^2) - Laves,Mean Intercept - Objects (Random) (um) - M23C6,Mean Intercept - Holes (Random) (um) - M23C6,Mean Inverse Intercept - Objects (Random) (1/um) - M23C6,Mean Inverse Intercept - Holes (Random) (1/um) - M23C6,Mode Intercept - Objects (Random) (um) - M23C6,Mode Intercept - Holes (Random) (um) - M23C6,Mode Inverse Intercept - Objects (Random) (1/um) - M23C6,Mode Inverse Intercept - Holes (Random) (1/um) - M23C6,ASTM Grain Size Number (Random Lines) - M23C6,Total Line Length (Random) (um) - M23C6,Total Intersections (Random) - M23C6,Mean Intercept - Objects (Random) (um) - MX ZPhase,Mean Intercept - Holes (Random) (um) - MX ZPhase,Mean Inverse Intercept - Objects (Random) (1/um) - MX ZPhase,Mean Inverse Intercept - Holes (Random) (1/um) - MX ZPhase,Mode Intercept - Objects (Random) (um) - MX ZPhase,Mode Intercept - Holes (Random) (um) - MX ZPhase,Mode Inverse Intercept - Objects (Random) (1/um) - MX ZPhase,Mode Inverse Intercept - Holes (Random) (1/um) - MX ZPhase,ASTM Grain Size Number (Random Lines) - MX ZPhase,Total Line Length (Random) (um) - MX ZPhase,Total Intersections (Random) - MX ZPhase,Mean Intercept - Objects (Random) (um) - Laves,Mean Intercept - Holes (Random) (um) - Laves,Mean Inverse Intercept - Objects (Random) (1/um) - Laves,Mean Inverse Intercept - Holes (Random) (1/um) - Laves,Mode Intercept - Objects (Random) (um) - Laves,Mode Intercept - Holes (Random) (um) - Laves,Mode Inverse Intercept - Objects (Random) (1/um) - Laves,Mode Inverse Intercept - Holes (Random) (1/um) - Laves,ASTM Grain Size Number (Random Lines) - Laves,Total Line Length (Random) (um) - Laves,Total Intersections (Random) - Laves,
T3_Mode2-GOO220_51_001_processed.tif,4.238000,0.382200,0.569400,2.298863,0.617974,0.049438,0.124164,2.064268,16.219445,3.958052,0.090000,0.250000,7.500000,1.500000,22.700000,14865.119264,10821.000000,0.068210,4.731698,21.996215,3.080242,0.050000,1.000000,12.500000,2.500000,24.400000,15249.024901,1720.000000,0.281055,1.925284,7.481446,14.101957,0.150000,1.500000,2.500000,10.000000,20.300000,15391.460726,555.000000,
T3_Mode2-GOO220_51_002_processed.tif,4.268000,0.361200,0.820800,2.701428,0.582661,0.049438,0.115301,1.986533,16.295784,3.926539,0.070000,0.250000,7.500000,1.500000,22.900000,15031.367810,12012.000000,0.072343,4.662711,20.720656,2.877717,0.050000,1.000000,7.500000,2.500000,24.200000,15136.154249,1711.000000,0.352673,2.261465,5.106852,13.395201,0.150000,1.000000,1.500000,10.000000,19.700000,14967.704809,696.000000,
T3_Mode2-GOO220_51_003_processed.tif,4.643000,0.414300,0.917600,2.461301,0.536754,0.031782,0.122981,2.044001,15.311132,4.124997,0.090000,0.250000,7.500000,1.500000,22.700000,15017.664835,12095.000000,0.083375,4.754765,19.422818,4.385527,0.045000,1.000000,7.500000,5.000000,23.800000,15053.467224,1562.000000,0.411379,3.985804,5.045024,8.772855,0.350000,2.500000,2.500000,10.000000,19.200000,15208.323712,747.000000,
T3_Mode2-GOO220_51_004_processed.tif,4.613000,0.434200,0.703000,2.870930,0.646224,0.067094,0.107681,1.843055,16.859730,3.592934,0.065000,0.150000,7.500000,1.000000,23.100000,14863.657674,13107.000000,0.074864,4.644106,21.270061,3.604324,0.050000,1.000000,7.500000,2.500000,24.100000,15127.513984,1962.000000,0.280551,2.905983,7.451551,10.993471,0.250000,1.500000,2.500000,5.000000,20.300000,15095.750965,886.000000,
T3_Mode2-GOO220_51_006_processed.tif,4.321000,0.320900,0.379200,2.496614,0.515567,0.035313,0.119591,1.949551,15.853284,4.266697,0.070000,0.250000,7.500000,1.500000,22.800000,14995.312318,11962.000000,0.069976,4.720562,21.153970,4.163603,0.050000,1.000000,12.500000,5.000000,24.300000,15136.472213,1572.000000,0.287978,2.742974,5.785576,8.904955,0.150000,1.500000,4.500000,10.000000,20.200000,15279.627267,378.000000,
T3_Mode2-GOO220_51_007_processed.tif,4.391000,0.660400,1.113000,1.687951,0.653287,0.056500,0.153761,2.217819,14.628816,4.384631,0.075000,0.250000,4.500000,1.500000,22.000000,14867.017846,9602.000000,0.091412,3.442657,18.047249,3.510956,0.050000,0.500000,7.500000,2.500000,23.500000,15212.036087,2399.000000,0.355308,1.934915,6.358568,12.489196,0.150000,1.000000,2.500000,5.000000,19.600000,15017.681065,1086.000000,
T3_Mode2-GOO220_51_008_processed.tif,4.560000,0.477700,0.374300,2.305925,0.603849,0.042375,0.126003,1.885006,14.938392,4.202561,0.090000,0.250000,7.500000,1.500000,22.600000,15257.991307,11858.000000,0.079143,4.090775,19.624358,2.282775,0.050000,1.000000,17.500000,1.500000,24.000000,15258.151627,1933.000000,0.251401,3.340654,5.295923,9.219189,0.225000,2.500000,3.000000,10.000000,20.600000,15157.888068,462.000000,
T3_Mode2-GOO220_51_009_processed.tif,4.561000,0.579200,0.356200,2.517802,0.730975,0.035313,0.118982,2.053246,15.691875,3.986356,0.090000,0.250000,7.500000,1.500000,22.800000,15205.942381,12317.000000,0.079044,4.478474,20.735747,4.083807,0.050000,1.000000,7.500000,2.500000,24.000000,15040.220889,2412.000000,0.278564,4.065735,6.247083,24.581711,0.150000,2.500000,2.500000,25.000000,20.300000,15098.735739,498.000000,
T3_Mode2-GOO220_51_010_processed.tif,4.657000,0.548000,0.935200,2.309456,0.833382,0.056500,0.126259,2.064394,15.096630,3.816931,0.090000,0.250000,7.500000,1.500000,22.600000,15166.170304,11888.000000,0.072129,4.544558,22.020456,2.487112,0.030000,1.000000,12.500000,1.500000,24.200000,15187.218160,2296.000000,0.342791,2.345998,5.910392,10.983712,0.150000,1.000000,2.500000,10.000000,19.700000,15199.291479,912.000000,
T3_Mode2-GOO220_51_011_processed.tif,4.579000,0.525800,0.510100,2.493083,0.787475,0.042375,0.122618,1.974197,15.407571,3.983106,0.090000,0.250000,7.500000,1.500000,22.700000,15001.290927,11899.000000,0.076215,4.221315,21.603636,4.436160,0.050000,1.000000,7.500000,2.500000,24.100000,15028.588185,2338.000000,0.282969,3.176703,6.412930,15.626468,0.350000,2.500000,2.500000,10.000000,20.300000,15174.043970,580.000000,
